Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_390,5040,0,1
graph_391,5040,0,1
graph_538,5040,0,1
graph_539,5040,0,1
graph_479,5040,0,1
graph_478,5040,0,1
graph_1020,5040,0,1
graph_1021,5040,0,1
graph_785,5040,0,1
graph_973,2520,2520,2
graph_972,5040,0,1
graph_784,5040,0,1
graph_717,5040,0,1
graph_571,5040,0,1
graph_570,5040,0,1
graph_716,5040,0,1
graph_243,5040,0,1
graph_242,5040,0,1
graph_723,5040,0,1
graph_545,5040,0,1
graph_544,3360,1680,2
graph_722,5040,0,1
graph_277,5040,0,1
graph_276,5040,0,1
graph_1014,5040,0,1
graph_1015,5040,0,1
graph_119,5040,0,1
graph_118,5040,0,1
graph_947,5040,0,1
graph_946,5040,0,1
graph_806,5040,0,1
graph_496,5040,0,1
graph_807,5040,0,1
graph_497,5040,0,1
graph_336,5040,0,1
graph_150,5040,0,1
graph_151,5040,0,1
graph_337,5040,0,1
graph_404,5040,0,1
graph_40,5040,0,1
graph_894,5040,0,1
graph_662,5040,0,1
graph_663,5040,0,1
graph_405,5040,0,1
graph_41,5040,0,1
graph_895,5040,0,1
graph_687,5040,0,1
graph_871,5040,0,1
graph_870,5040,0,1
graph_686,5040,0,1
graph_249,5040,0,1
graph_248,5040,0,1
graph_979,5040,0,1
graph_978,5040,0,1
graph_127,5040,0,1
graph_341,5040,0,1
graph_340,5040,0,1
graph_126,5040,0,1
graph_615,5040,0,1
graph_473,3780,1260,2
graph_37,5040,0,1
graph_472,5040,0,1
graph_36,5040,0,1
graph_614,5040,0,1
graph_532,5040,0,1
graph_754,5040,0,1
graph_755,5040,0,1
graph_533,5040,0,1
graph_200,5040,0,1
graph_201,5040,0,1
graph_838,5040,0,1
graph_839,5040,0,1
graph_292,2520,2520,2
graph_293,5040,0,1
graph_308,5040,0,1
graph_309,5040,0,1
graph_930,5040,0,1
graph_931,5040,0,1
