Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_10815,40320,0,1
graph_10816,40320,0,1
graph_10817,40320,0,1
graph_10818,40320,0,1
graph_10819,40320,0,1
graph_1082,40320,0,1
graph_10820,40320,0,1
graph_10821,26880,13440,2
graph_10822,26880,13440,2
graph_10823,40320,0,1
graph_10824,20160,20160,2
graph_10825,40320,0,1
graph_10826,20160,20160,2
graph_10827,33600,6720,2
graph_10828,26880,13440,2
graph_10829,40320,0,1
graph_1083,40320,0,1
graph_10830,40320,0,1
graph_10831,40320,0,1
graph_10832,33600,6720,2
graph_10833,40320,0,1
graph_10834,40320,0,1
graph_10835,20160,20160,2
graph_10836,40320,0,1
graph_10837,13440,26880,2
graph_10838,26880,13440,2
graph_10839,20160,20160,2
graph_1084,40320,0,1
graph_10840,40320,0,1
graph_10841,34560,5760,2
graph_10842,40320,0,1
graph_10843,40320,0,1
graph_10844,17280,23040,2
graph_10845,40320,0,1
graph_10846,40320,0,1
graph_10847,40320,0,1
graph_10848,40320,0,1
graph_10849,40320,0,1
graph_1085,40320,0,1
graph_10850,40320,0,1
graph_10851,40320,0,1
graph_10852,40320,0,1
graph_10853,40320,0,1
graph_10854,40320,0,1
graph_10855,40320,0,1
graph_10856,40320,0,1
graph_10857,40320,0,1
graph_10858,40320,0,1
graph_10859,40320,0,1
graph_1086,40320,0,1
graph_10860,40320,0,1
graph_10861,40320,0,1
graph_10862,40320,0,1
graph_10863,40320,0,1
graph_10864,40320,0,1
graph_10865,40320,0,1
graph_10866,40320,0,1
graph_10867,40320,0,1
graph_10868,40320,0,1
graph_10869,40320,0,1
graph_1087,40320,0,1
graph_10870,40320,0,1
graph_10871,40320,0,1
graph_10872,40320,0,1
graph_10873,40320,0,1
graph_10874,40320,0,1
graph_10875,40320,0,1
graph_10876,40320,0,1
graph_10877,40320,0,1
graph_10878,40320,0,1
graph_10879,40320,0,1
graph_1088,40320,0,1
graph_10880,40320,0,1
graph_10881,40320,0,1
graph_10882,40320,0,1
graph_10883,40320,0,1
graph_10884,40320,0,1
graph_10885,40320,0,1
graph_10886,40320,0,1
graph_10887,40320,0,1
graph_10888,40320,0,1
graph_10889,40320,0,1
graph_1089,40320,0,1
graph_10890,40320,0,1
graph_10891,40320,0,1
graph_10892,40320,0,1
graph_10893,40320,0,1
graph_10894,40320,0,1
graph_10895,40320,0,1
graph_10896,40320,0,1
graph_10897,40320,0,1
graph_10898,40320,0,1
