graph_name,vanilla_greedy_mis_size,augmented_greedy_mis_size
graph_752.edgelist,4,4
graph_753.edgelist,3,3
graph_754.edgelist,3,3
graph_755.edgelist,3,3
graph_756.edgelist,3,3
graph_757.edgelist,3,3
graph_758.edgelist,3,3
graph_759.edgelist,3,3
graph_76.edgelist,4,4
graph_760.edgelist,3,3
graph_761.edgelist,3,3
graph_762.edgelist,3,3
graph_763.edgelist,3,3
graph_764.edgelist,3,3
graph_765.edgelist,2,2
graph_766.edgelist,3,3
graph_767.edgelist,3,3
graph_768.edgelist,2,2
graph_769.edgelist,3,3
graph_77.edgelist,3,3
graph_770.edgelist,3,3
graph_771.edgelist,3,3
graph_772.edgelist,2,2
graph_773.edgelist,3,3
graph_774.edgelist,3,3
graph_775.edgelist,3,3
graph_776.edgelist,2,2
graph_777.edgelist,3,3
graph_778.edgelist,2,2
graph_779.edgelist,3,3
graph_78.edgelist,4,4
graph_780.edgelist,3,3
graph_781.edgelist,3,3
graph_782.edgelist,3,3
graph_783.edgelist,3,3
graph_784.edgelist,3,3
graph_785.edgelist,3,3
graph_786.edgelist,3,3
graph_787.edgelist,3,3
graph_788.edgelist,3,3
graph_789.edgelist,3,3
graph_79.edgelist,3,3
graph_790.edgelist,2,2
graph_791.edgelist,3,3
graph_792.edgelist,2,2
graph_793.edgelist,3,3
graph_794.edgelist,3,3
graph_795.edgelist,3,3
graph_796.edgelist,2,2
graph_797.edgelist,3,3
graph_798.edgelist,2,2
graph_799.edgelist,4,4
graph_8.edgelist,4,4
graph_80.edgelist,4,4
graph_800.edgelist,3,3
graph_801.edgelist,4,4
graph_802.edgelist,3,3
graph_803.edgelist,4,4
graph_804.edgelist,4,4
graph_805.edgelist,3,3
graph_806.edgelist,3,3
graph_807.edgelist,3,3
graph_808.edgelist,3,3
graph_809.edgelist,3,3
graph_81.edgelist,5,5
graph_810.edgelist,3,3
graph_811.edgelist,3,3
graph_812.edgelist,4,4
graph_813.edgelist,3,3
graph_814.edgelist,2,2
graph_815.edgelist,3,3
graph_816.edgelist,3,3
graph_817.edgelist,3,3
graph_818.edgelist,3,3
graph_819.edgelist,3,3
graph_82.edgelist,5,5
graph_820.edgelist,3,3
graph_821.edgelist,3,3
graph_822.edgelist,2,2
graph_823.edgelist,3,3
graph_824.edgelist,3,3
graph_825.edgelist,3,3
graph_826.edgelist,3,3
graph_827.edgelist,3,3
graph_828.edgelist,3,3
graph_829.edgelist,3,3
graph_83.edgelist,5,5
graph_830.edgelist,3,3
graph_831.edgelist,3,3
graph_832.edgelist,3,3
graph_833.edgelist,4,4
graph_834.edgelist,2,2
graph_835.edgelist,3,3
graph_836.edgelist,3,3
graph_837.edgelist,3,3
graph_838.edgelist,3,3
graph_839.edgelist,3,3
graph_84.edgelist,4,4
graph_840.edgelist,2,2
graph_841.edgelist,3,3
graph_842.edgelist,3,3
graph_843.edgelist,3,3
graph_844.edgelist,2,2
graph_845.edgelist,2,2
graph_846.edgelist,3,3
graph_847.edgelist,3,3
graph_848.edgelist,3,3
graph_849.edgelist,2,2
graph_85.edgelist,4,4
graph_850.edgelist,3,3
graph_851.edgelist,3,3
graph_852.edgelist,3,3
graph_853.edgelist,3,3
graph_854.edgelist,3,3
graph_855.edgelist,3,3
graph_856.edgelist,3,3
graph_857.edgelist,3,3
graph_858.edgelist,3,3
graph_859.edgelist,4,4
graph_86.edgelist,5,5
graph_860.edgelist,3,3
graph_861.edgelist,2,2
graph_862.edgelist,3,3
graph_863.edgelist,3,3
graph_864.edgelist,3,3
graph_865.edgelist,3,3
graph_866.edgelist,3,3
graph_867.edgelist,2,2
graph_868.edgelist,3,3
graph_869.edgelist,3,3
graph_87.edgelist,5,5
graph_870.edgelist,2,2
graph_871.edgelist,3,3
graph_872.edgelist,3,3
graph_873.edgelist,3,3
graph_874.edgelist,3,3
graph_875.edgelist,2,2
graph_876.edgelist,3,3
graph_877.edgelist,3,3
graph_878.edgelist,3,3
graph_879.edgelist,2,2
graph_88.edgelist,5,5
graph_880.edgelist,2,2
graph_881.edgelist,3,3
graph_882.edgelist,3,3
graph_883.edgelist,3,3
graph_884.edgelist,2,2
graph_885.edgelist,2,2
graph_886.edgelist,3,3
graph_887.edgelist,2,2
graph_888.edgelist,3,3
graph_889.edgelist,2,2
graph_89.edgelist,4,4
graph_890.edgelist,3,3
graph_891.edgelist,2,2
graph_892.edgelist,3,3
graph_893.edgelist,3,3
graph_894.edgelist,2,2
graph_895.edgelist,3,3
graph_896.edgelist,3,3
graph_897.edgelist,2,2
graph_898.edgelist,4,4
graph_899.edgelist,3,3
graph_9.edgelist,6,6
graph_90.edgelist,4,4
graph_900.edgelist,3,3
graph_901.edgelist,3,3
graph_902.edgelist,3,3
graph_903.edgelist,3,3
graph_904.edgelist,3,3
graph_905.edgelist,3,3
graph_906.edgelist,3,3
graph_907.edgelist,4,4
graph_908.edgelist,2,2
graph_909.edgelist,3,3
graph_91.edgelist,4,4
graph_910.edgelist,3,3
graph_911.edgelist,3,3
graph_912.edgelist,3,3
graph_913.edgelist,3,3
graph_914.edgelist,2,2
graph_915.edgelist,3,3
graph_916.edgelist,3,3
graph_917.edgelist,3,3
graph_918.edgelist,2,2
graph_919.edgelist,3,3
graph_92.edgelist,4,4
graph_920.edgelist,2,2
graph_921.edgelist,3,3
graph_922.edgelist,3,3
graph_923.edgelist,3,3
graph_924.edgelist,2,2
graph_925.edgelist,3,3
graph_926.edgelist,2,2
graph_927.edgelist,2,2
graph_928.edgelist,2,2
graph_929.edgelist,3,3
graph_93.edgelist,4,4
graph_930.edgelist,3,3
graph_931.edgelist,3,3
graph_932.edgelist,3,3
graph_933.edgelist,3,3
graph_934.edgelist,3,3
graph_935.edgelist,3,3
graph_936.edgelist,2,2
graph_937.edgelist,3,3
graph_938.edgelist,3,3
graph_939.edgelist,2,2
graph_94.edgelist,4,4
graph_940.edgelist,3,3
graph_941.edgelist,2,2
graph_942.edgelist,3,3
graph_943.edgelist,3,3
graph_944.edgelist,3,3
graph_945.edgelist,2,2
