Running job on gpu-3-01
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
modelTrain_prob.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(MODEL_SAVE_PATH))
Warning: JSON file 'mis_results_grouped_v3/nodes_80_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_85_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_80percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_85percent.json' does not exist. Skipping.
Total JSON files found: 251
Total edgelist directories found: 251
Total graphs in dataset: 39900
Train Dataset Size: 31920
Validation Dataset Size: 7980

Calculating baseline MAE (predicting 0.5 for every node):
Baseline Training MAE: 0.4161
Baseline Validation MAE: 0.4170
Epoch 136 | Train Loss: 0.3416 | Validation Loss: 0.3403 | Validation MAE: 0.1392
Epoch 137 | Train Loss: 0.3417 | Validation Loss: 0.3403 | Validation MAE: 0.1353
Epoch 138 | Train Loss: 0.3411 | Validation Loss: 0.3454 | Validation MAE: 0.1502
Epoch 139 | Train Loss: 0.3414 | Validation Loss: 0.3413 | Validation MAE: 0.1340
Epoch 140 | Train Loss: 0.3415 | Validation Loss: 0.3400 | Validation MAE: 0.1374
Epoch 141 | Train Loss: 0.3416 | Validation Loss: 0.3401 | Validation MAE: 0.1361
Epoch 142 | Train Loss: 0.3414 | Validation Loss: 0.3402 | Validation MAE: 0.1351
Epoch 143 | Train Loss: 0.3416 | Validation Loss: 0.3399 | Validation MAE: 0.1363
Epoch 144 | Train Loss: 0.3412 | Validation Loss: 0.3398 | Validation MAE: 0.1376
Epoch 145 | Train Loss: 0.3413 | Validation Loss: 0.3433 | Validation MAE: 0.1469
Epoch 146 | Train Loss: 0.3417 | Validation Loss: 0.3398 | Validation MAE: 0.1382
Epoch 147 | Train Loss: 0.3410 | Validation Loss: 0.3435 | Validation MAE: 0.1475
Epoch 148 | Train Loss: 0.3412 | Validation Loss: 0.3417 | Validation MAE: 0.1444
Epoch 149 | Train Loss: 0.3413 | Validation Loss: 0.3407 | Validation MAE: 0.1356
Epoch 150 | Train Loss: 0.3411 | Validation Loss: 0.3397 | Validation MAE: 0.1365
Epoch 151 | Train Loss: 0.3414 | Validation Loss: 0.3608 | Validation MAE: 0.1297
Epoch 152 | Train Loss: 0.3412 | Validation Loss: 0.3415 | Validation MAE: 0.1437
Epoch 153 | Train Loss: 0.3409 | Validation Loss: 0.3412 | Validation MAE: 0.1429
Epoch 154 | Train Loss: 0.3411 | Validation Loss: 0.3396 | Validation MAE: 0.1375
Epoch 155 | Train Loss: 0.3412 | Validation Loss: 0.3433 | Validation MAE: 0.1472
Epoch 156 | Train Loss: 0.3414 | Validation Loss: 0.3405 | Validation MAE: 0.1413
Epoch 157 | Train Loss: 0.3410 | Validation Loss: 0.3396 | Validation MAE: 0.1358
Epoch 158 | Train Loss: 0.3411 | Validation Loss: 0.3421 | Validation MAE: 0.1325
Epoch 159 | Train Loss: 0.3411 | Validation Loss: 0.3438 | Validation MAE: 0.1480
Epoch 160 | Train Loss: 0.3409 | Validation Loss: 0.3395 | Validation MAE: 0.1376
Epoch 161 | Train Loss: 0.3413 | Validation Loss: 0.3401 | Validation MAE: 0.1346
Epoch 162 | Train Loss: 0.3408 | Validation Loss: 0.3476 | Validation MAE: 0.1298
Epoch 163 | Train Loss: 0.3409 | Validation Loss: 0.3412 | Validation MAE: 0.1436
Epoch 164 | Train Loss: 0.3412 | Validation Loss: 0.3428 | Validation MAE: 0.1321
Epoch 165 | Train Loss: 0.3411 | Validation Loss: 0.3395 | Validation MAE: 0.1376
Epoch 166 | Train Loss: 0.3411 | Validation Loss: 0.3415 | Validation MAE: 0.1436
Epoch 167 | Train Loss: 0.3409 | Validation Loss: 0.3400 | Validation MAE: 0.1341
Epoch 168 | Train Loss: 0.3409 | Validation Loss: 0.3393 | Validation MAE: 0.1380
Epoch 169 | Train Loss: 0.3409 | Validation Loss: 0.3402 | Validation MAE: 0.1342
Epoch 170 | Train Loss: 0.3406 | Validation Loss: 0.3401 | Validation MAE: 0.1357
Epoch 171 | Train Loss: 0.3409 | Validation Loss: 0.3421 | Validation MAE: 0.1454
Epoch 172 | Train Loss: 0.3409 | Validation Loss: 0.3394 | Validation MAE: 0.1368
Epoch 173 | Train Loss: 0.3410 | Validation Loss: 0.3395 | Validation MAE: 0.1392
Epoch 174 | Train Loss: 0.3409 | Validation Loss: 0.3457 | Validation MAE: 0.1513
Epoch 175 | Train Loss: 0.3410 | Validation Loss: 0.3440 | Validation MAE: 0.1487
Epoch 176 | Train Loss: 0.3408 | Validation Loss: 0.3396 | Validation MAE: 0.1356
Epoch 177 | Train Loss: 0.3408 | Validation Loss: 0.3395 | Validation MAE: 0.1393
Epoch 178 | Train Loss: 0.3406 | Validation Loss: 0.3394 | Validation MAE: 0.1388
Epoch 179 | Train Loss: 0.3407 | Validation Loss: 0.3412 | Validation MAE: 0.1440
Epoch 180 | Train Loss: 0.3411 | Validation Loss: 0.3481 | Validation MAE: 0.1306
Epoch 181 | Train Loss: 0.3405 | Validation Loss: 0.3396 | Validation MAE: 0.1350
Epoch 182 | Train Loss: 0.3408 | Validation Loss: 0.3408 | Validation MAE: 0.1430
Epoch 183 | Train Loss: 0.3407 | Validation Loss: 0.3442 | Validation MAE: 0.1491
Epoch 184 | Train Loss: 0.3405 | Validation Loss: 0.3392 | Validation MAE: 0.1366
Epoch 185 | Train Loss: 0.3407 | Validation Loss: 0.3479 | Validation MAE: 0.1302
Epoch 186 | Train Loss: 0.3408 | Validation Loss: 0.3399 | Validation MAE: 0.1338
Epoch 187 | Train Loss: 0.3406 | Validation Loss: 0.3462 | Validation MAE: 0.1301
Epoch 188 | Train Loss: 0.3405 | Validation Loss: 0.3394 | Validation MAE: 0.1395
Epoch 189 | Train Loss: 0.3409 | Validation Loss: 0.3410 | Validation MAE: 0.1324
Epoch 190 | Train Loss: 0.3404 | Validation Loss: 0.3430 | Validation MAE: 0.1312
Epoch 191 | Train Loss: 0.3404 | Validation Loss: 0.3391 | Validation MAE: 0.1384
Epoch 192 | Train Loss: 0.3406 | Validation Loss: 0.3418 | Validation MAE: 0.1445
